session_id,user_id,timestamp,item_id,interaction_type,device_type,country
S000001,U0001,2025-05-24 00:38:50.487864,P019,add_to_cart,desktop,UK
S000001,U0001,2025-05-24 00:39:20.487864,P018,click,desktop,AU
S000001,U0001,2025-05-24 00:39:50.487864,P020,add_to_cart,tablet,IN
S000001,U0001,2025-05-24 00:40:20.487864,P019,view,desktop,CA
S000001,U0001,2025-05-24 00:40:50.487864,P018,click,desktop,UK
S000001,U0001,2025-05-24 00:41:20.487864,P017,click,tablet,JP
S000001,U0001,2025-05-24 00:41:50.487864,P018,add_to_cart,desktop,FR
S000001,U0001,2025-05-24 00:42:20.487864,P019,view,desktop,JP
S000002,U0002,2025-05-18 16:34:34.487864,P014,click,tablet,UK
S000002,U0002,2025-05-18 16:35:04.487864,P002,add_to_cart,tablet,US
S000002,U0002,2025-05-18 16:35:34.487864,P011,add_to_cart,tablet,FR
S000002,U0002,2025-05-18 16:36:04.487864,P003,add_to_cart,tablet,FR
S000002,U0002,2025-05-18 16:36:34.487864,P004,add_to_cart,desktop,FR
S000002,U0002,2025-05-18 16:37:04.487864,P005,click,desktop,DE
S000002,U0002,2025-05-18 16:37:34.487864,P004,click,tablet,IN
S000003,U0003,2025-05-05 20:14:07.487864,P014,add_to_cart,mobile,JP
S000003,U0003,2025-05-05 20:14:37.487864,P015,click,desktop,FR
S000003,U0003,2025-05-05 20:15:07.487864,P014,view,mobile,JP
S000003,U0003,2025-05-05 20:15:37.487864,P015,click,mobile,CA
S000003,U0003,2025-05-05 20:16:07.487864,P014,purchase,desktop,DE
S000004,U0004,2025-05-22 05:05:29.487864,P017,view,mobile,AU
S000004,U0004,2025-05-22 05:05:59.487864,P005,add_to_cart,mobile,JP
S000004,U0004,2025-05-22 05:06:29.487864,P004,click,mobile,IN
S000004,U0004,2025-05-22 05:06:59.487864,P005,add_to_cart,desktop,CA
S000004,U0004,2025-05-22 05:07:29.487864,P006,purchase,tablet,DE
S000004,U0004,2025-05-22 05:07:59.487864,P005,purchase,mobile,JP
S000004,U0004,2025-05-22 05:08:29.487864,P004,view,tablet,IN
S000004,U0004,2025-05-22 05:08:59.487864,P005,purchase,mobile,AU
S000005,U0005,2025-05-27 13:38:38.487864,P012,view,tablet,CA
S000005,U0005,2025-05-27 13:39:08.487864,P011,click,mobile,UK
